Gait_Cycle(%),Elbow_Patient_Mean,Elbow_Patient_Std,Elbow_Reference_Mean,Elbow_Reference_Std,Hip_Patient_Mean,Hip_Patient_Std,Hip_Reference_Mean,Hip_Reference_Std,Knee_Patient_Mean,Knee_Patient_Std,Knee_Reference_Mean,Knee_Reference_Std
0.0,60.0,1.0,60.0,2.0,30.0,1.5,30.0,3.0,35.0,2.0,35.0,3.5
1.0,60.18837155858794,1.0,60.75348623435176,2.0,30.87906727341039,1.5,31.31860091011558,3.0,36.56976298823283,2.0,36.90883179369113,3.5
2.0,60.375999700692915,1.0,61.50399880277165,2.0,31.754665269900258,1.5,32.63199790485039,3.0,38.13333083910761,2.0,38.81013030035485,3.5
3.0,60.56214394375717,1.0,62.2485757750287,2.0,32.62333840420015,1.5,33.93500760630022,3.0,39.68453286464312,2.0,40.69639196340603,3.5
4.0,60.746069661494566,1.0,62.98427864597826,2.0,33.481658420307966,1.5,35.22248763046195,3.0,41.21724717912137,2.0,42.560172569811584,3.5
5.0,60.92705098312484,1.0,63.708203932499366,2.0,34.326237921249266,1.5,36.489356881873896,3.0,42.72542485937368,2.0,44.394116628998404,3.5
6.0,61.10437365805404,1.0,64.41749463221613,2.0,35.15374373758549,1.5,37.73061560637824,3.0,44.20311381711695,2.0,46.19098640161421,3.5
7.0,61.27733787469522,1.0,65.10935149878087,2.0,35.96091008191102,1.5,38.94136512286653,3.0,45.64448228912681,2.0,47.94369046357821,3.5
8.0,61.44526102230515,1.0,65.78104408922059,2.0,36.744551437424015,1.5,40.116827156136026,3.0,47.04384185254288,2.0,49.64531169269215,3.5
9.0,61.60748038493699,1.0,66.42992153974797,2.0,37.501575129705955,1.5,41.252362694558926,3.0,48.39566987447492,2.0,51.2891345673615,3.5
10.0,61.76335575687742,1.0,67.05342302750968,2.0,38.22899353209462,1.5,42.34349029814194,3.0,49.69463130731183,2.0,52.86867166969118,3.5
11.0,61.91227196924607,1.0,67.64908787698428,2.0,38.923935856481656,1.5,43.38590378472248,3.0,50.93559974371724,2.0,54.37768928836016,3.5
12.0,62.05364131778607,1.0,68.21456527114427,2.0,39.58365948300164,1.5,44.37548922450246,3.0,52.11367764821722,2.0,55.810232020232135,3.5
13.0,62.186905882264234,1.0,68.74762352905694,2.0,40.20556078389976,1.5,45.30834117584964,3.0,53.224215685535285,2.0,57.16064627361091,3.5
14.0,62.31153972832737,1.0,69.24615891330947,2.0,40.78718539886105,1.5,46.180778098291576,3.0,54.262831069394736,2.0,58.42360258038399,3.5
15.0,62.42705098312484,1.0,69.70820393249937,2.0,41.32623792124926,1.5,46.989356881873896,3.0,55.22542485937368,2.0,59.5941166289984,3.5
16.0,62.53298377650604,1.0,70.13193510602417,2.0,41.82059095702821,1.5,47.73088643554232,3.0,56.108198137550374,2.0,60.66756893526126,3.5
17.0,62.62892004013159,1.0,70.51568016052636,2.0,42.268293520614094,1.5,48.40244028092114,3.0,56.90766700109659,2.0,61.63972307333346,3.5
18.0,62.71448115739806,1.0,70.85792462959223,2.0,42.66757873452427,1.5,49.00136810178641,3.0,57.620676311650485,2.0,62.50674239496699,3.5
19.0,62.789329457664756,1.0,71.15731783065901,2.0,43.01687080243552,1.5,49.52530620365328,3.0,58.24441214720628,2.0,63.26520517100284,3.5
20.0,62.85316954888546,1.0,71.41267819554184,2.0,43.31479122813215,1.5,49.97218684219823,3.0,58.77641290737884,2.0,63.91211809537266,3.5
21.0,62.90574948338589,1.0,71.62299793354357,2.0,43.560164255800835,1.5,50.340246383701256,3.0,59.21457902821578,2.0,64.44492809831038,3.5
22.0,62.94686175218607,1.0,71.78744700874427,2.0,43.752021510201644,1.5,50.628032265302465,3.0,59.557181268217214,2.0,64.86153242215214,3.5
23.0,62.97634410394343,1.0,71.90537641577373,2.0,43.889605818402686,1.5,50.83440872760403,3.0,59.802867532861946,2.0,65.16028691996013,3.5
24.0,62.994080185284815,1.0,71.97632074113926,2.0,43.972374197995805,1.5,50.95856129699371,3.0,59.95066821070679,2.0,65.34001254421946,3.5
25.0,63.0,1.0,72.0,2.0,44.0,1.5,51.0,3.0,60.0,2.0,65.4,3.5
26.0,62.994080185284815,1.0,71.97632074113926,2.0,43.972374197995805,1.5,50.95856129699371,3.0,59.95066821070679,2.0,65.34001254421946,3.5
27.0,62.97634410394343,1.0,71.90537641577373,2.0,43.88960581840269,1.5,50.834408727604036,3.0,59.802867532861946,2.0,65.16028691996013,3.5
28.0,62.94686175218607,1.0,71.78744700874427,2.0,43.752021510201644,1.5,50.628032265302465,3.0,59.55718126821722,2.0,64.86153242215214,3.5
29.0,62.90574948338589,1.0,71.62299793354357,2.0,43.560164255800835,1.5,50.340246383701256,3.0,59.21457902821578,2.0,64.44492809831038,3.5
30.0,62.85316954888546,1.0,71.41267819554184,2.0,43.31479122813215,1.5,49.97218684219823,3.0,58.77641290737884,2.0,63.91211809537267,3.5
31.0,62.789329457664756,1.0,71.15731783065903,2.0,43.01687080243552,1.5,49.52530620365328,3.0,58.24441214720629,2.0,63.26520517100285,3.5
32.0,62.714481157398055,1.0,70.85792462959223,2.0,42.66757873452427,1.5,49.00136810178641,3.0,57.620676311650485,2.0,62.50674239496699,3.5
33.0,62.62892004013159,1.0,70.51568016052636,2.0,42.26829352061409,1.5,48.402440280921134,3.0,56.907667001096584,2.0,61.63972307333345,3.5
34.0,62.53298377650604,1.0,70.13193510602417,2.0,41.82059095702821,1.5,47.73088643554232,3.0,56.108198137550374,2.0,60.66756893526126,3.5
35.0,62.42705098312484,1.0,69.70820393249937,2.0,41.326237921249266,1.5,46.989356881873896,3.0,55.22542485937369,2.0,59.5941166289984,3.5
36.0,62.31153972832737,1.0,69.24615891330947,2.0,40.78718539886105,1.5,46.180778098291576,3.0,54.262831069394736,2.0,58.42360258038399,3.5
37.0,62.186905882264234,1.0,68.74762352905694,2.0,40.205560783899756,1.5,45.30834117584964,3.0,53.224215685535285,2.0,57.16064627361091,3.5
38.0,62.05364131778607,1.0,68.21456527114427,2.0,39.58365948300164,1.5,44.375489224502466,3.0,52.11367764821722,2.0,55.810232020232135,3.5
39.0,61.91227196924607,1.0,67.64908787698428,2.0,38.923935856481656,1.5,43.38590378472249,3.0,50.93559974371725,2.0,54.37768928836017,3.5
40.0,61.76335575687742,1.0,67.05342302750968,2.0,38.22899353209463,1.5,42.34349029814194,3.0,49.69463130731183,2.0,52.86867166969118,3.5
41.0,61.60748038493699,1.0,66.42992153974797,2.0,37.501575129705955,1.5,41.25236269455894,3.0,48.395669874474926,2.0,51.28913456736151,3.5
42.0,61.44526102230515,1.0,65.78104408922059,2.0,36.744551437424015,1.5,40.11682715613602,3.0,47.04384185254288,2.0,49.64531169269214,3.5
43.0,61.27733787469522,1.0,65.10935149878088,2.0,35.960910081911024,1.5,38.94136512286653,3.0,45.64448228912682,2.0,47.943690463578214,3.5
44.0,61.10437365805404,1.0,64.41749463221613,2.0,35.15374373758549,1.5,37.730615606378244,3.0,44.20311381711696,2.0,46.19098640161421,3.5
45.0,60.92705098312484,1.0,63.70820393249937,2.0,34.326237921249266,1.5,36.489356881873896,3.0,42.72542485937369,2.0,44.394116628998404,3.5
46.0,60.746069661494566,1.0,62.984278645978264,2.0,33.48165842030797,1.5,35.22248763046196,3.0,41.21724717912138,2.0,42.5601725698116,3.5
47.0,60.56214394375717,1.0,62.2485757750287,2.0,32.62333840420014,1.5,33.93500760630022,3.0,39.68453286464312,2.0,40.69639196340603,3.5
48.0,60.375999700692915,1.0,61.503998802771655,2.0,31.754665269900265,1.5,32.631997904850394,3.0,38.133330839107614,2.0,38.81013030035486,3.5
49.0,60.18837155858794,1.0,60.75348623435176,2.0,30.87906727341039,1.5,31.318600910115585,3.0,36.56976298823284,2.0,36.908831793691135,3.5
50.0,60.0,1.0,60.0,2.0,30.0,1.5,30.000000000000004,3.0,35.0,2.0,35.00000000000001,3.5
51.0,59.81162844141206,1.0,59.24651376564824,2.0,29.120932726589615,1.5,28.68139908988442,3.0,33.43023701176717,2.0,33.09116820630887,3.5
52.0,59.624000299307085,1.0,58.496001197228345,2.0,28.24533473009974,1.5,27.36800209514961,3.0,31.866669160892393,2.0,31.18986969964515,3.5
53.0,59.43785605624283,1.0,57.7514242249713,2.0,27.376661595799852,1.5,26.06499239369978,3.0,30.315467135356883,2.0,29.303608036593968,3.5
54.0,59.253930338505434,1.0,57.01572135402174,2.0,26.518341579692034,1.5,24.777512369538055,3.0,28.782752820878635,2.0,27.439827430188423,3.5
