Gait_Cycle(%),Elbow_Reference_Mean,Elbow_Reference_Std,Elbow_Patient_Mean,Elbow_Patient_Std,Hip_Reference_Mean,Hip_Reference_Std,Hip_Patient_Mean,Hip_Patient_Std,Knee_Reference_Mean,Knee_Reference_Std,Knee_Patient_Mean,Knee_Patient_Std
0.0,60.0,2.0,60.0,1.0,30.0,3.0,30.0,2.0,35.0,3.5,35.0,2.5
1.0,61.129238129550345,2.0,60.313704792152244,1.0,32.32126677863002,3.0,31.50573344123191,2.0,37.823095323875876,3.5,36.693857194325524,2.5
2.0,62.24809188430246,2.0,60.62468958785777,1.0,34.62151700216923,3.0,32.99811470572453,2.0,40.620229710756156,3.5,38.372137826453695,2.5
3.0,63.34631135659596,2.0,60.93026849644185,1.0,36.880004027777645,3.0,34.46396116762354,2.0,43.3657783914899,3.5,40.019467034893935,2.5
4.0,64.4139135680554,2.0,61.227823335596284,1.0,39.07651702327567,3.0,35.89042679081654,2.0,46.03478392013852,3.5,41.62087035208312,2.5
5.0,65.44131095291937,2.0,61.51483623541731,1.0,41.19163890021368,3.0,37.26516418271163,2.0,48.603277382298415,3.5,43.16196642937905,2.5
6.0,66.41943395056154,2.0,61.78892076398272,1.0,43.20699245380774,3.0,38.57647926722893,2.0,51.04858487640384,3.5,44.6291509258423,2.5
7.0,67.33984588675388,2.0,62.04785111747101,1.0,45.10547106507284,3.0,39.81347629578996,2.0,53.3496147168847,3.5,46.009768830130824,2.5
8.0,68.19484844302521,2.0,62.28958894780716,1.0,46.87145056015215,3.0,40.966191064934094,2.0,55.487121107563034,3.5,47.29227266453782,2.5
9.0,68.97757615965403,2.0,62.51230743740301,1.0,48.490979114287086,3.0,42.02571039203605,2.0,57.443940399135116,3.5,48.46636423948107,2.5
10.0,69.68207858810534,2.0,62.71441227317257,1.0,49.951942428503166,3.0,42.98427611357039,2.0,59.20519647026337,3.5,49.52311788215802,2.5
11.0,70.30338890040166,2.0,62.89455921997476,1.0,51.24420179055199,3.0,43.8353721101251,2.0,60.75847225100413,3.5,50.45508335060248,2.5
12.0,70.83757797299998,2.0,63.05166804621434,1.0,52.35970305192863,3.0,44.573793125143,2.0,62.09394493249994,3.5,51.25636695949996,2.5
13.0,71.2817931879272,2.0,63.184932610692506,1.0,53.292555003275815,3.0,45.19569442604112,2.0,63.204482969818,3.5,51.9226897818908,2.5
14.0,71.63428143067264,2.0,63.29382697905606,1.0,54.03907610412109,3.0,45.69862165250449,2.0,64.08570357668162,3.5,52.45142214600897,2.5
15.0,71.89439600893009,2.0,63.37810749942,1.0,54.597809012235125,3.0,46.08152050272503,2.0,64.73599002232521,3.5,52.84159401339513,2.5
16.0,72.06258746488422,2.0,63.43781082897206,1.0,54.96950285527047,3.0,46.34472621935831,2.0,65.15646866221057,3.5,53.09388119732635,2.5
17.0,72.1403785024467,2.0,63.473247965633604,1.0,55.15706368493726,3.0,46.489933148124166,2.0,65.35094625611674,3.5,53.21056775367005,2.5
18.0,72.13032349576335,2.0,63.48499440017385,1.0,55.165474043992724,3.0,46.520144948403214,2.0,65.32580873940837,3.5,53.19548524364503,2.5
19.0,72.03595328259728,2.0,63.47387656359344,1.0,55.00168305108279,3.0,46.43960633207897,2.0,65.08988320649317,3.5,53.05392992389591,2.5
20.0,71.86170617212143,2.0,63.44095480117793,1.0,54.67446886053801,3.0,46.253717489594514,2.0,64.65426543030357,3.5,52.792559258182145,2.5
21.0,71.61284630769318,2.0,63.38750315748761,1.0,54.19427577651498,3.0,45.96893262630941,2.0,64.03211576923293,3.5,52.419269461539756,2.5
22.0,71.2953707180256,2.0,63.31498630487074,1.0,53.57302868677989,3.0,45.592644273625034,2.0,63.238426795063994,3.5,51.9430560770384,2.5
23.0,70.91590656180419,2.0,63.22503399110829,1.0,52.82392782492287,3.0,45.13305525422696,2.0,62.2897664045105,3.5,51.373859842706295,2.5
24.0,70.48160021853994,2.0,63.11941341884912,1.0,51.96122716550814,3.0,44.59904036581733,2.0,61.20400054634983,3.5,50.7224003278099,2.5
25.0,70.0,2.0,63.0,1.0,51.0,3.0,44.0,2.0,60.0,3.5,50.0,2.5
26.0,69.4789343500255,2.0,62.86874695172051,1.0,49.95589542847927,3.0,43.345708030174286,2.0,58.69733587506374,3.5,49.21840152503825,2.5
27.0,68.92638746448536,2.0,62.727654216778575,1.0,48.8448896302852,3.0,42.64615638257842,2.0,57.3159686612134,3.5,48.389581196728045,2.5
28.0,68.35037429654818,2.0,62.57873719950139,1.0,47.68303584382504,3.0,41.911398746778254,2.0,55.87593574137044,3.5,47.525561444822266,2.5
29.0,67.75881691487946,2.0,62.42399580928417,1.0,46.486216990887534,3.0,41.15139588529226,2.0,54.39704228719863,3.5,46.63822537231917,2.5
30.0,67.15942415378164,2.0,62.26538429659299,1.0,45.26990482385845,3.0,40.37586496666979,2.0,52.898560384454115,3.5,45.73913623067247,2.5
31.0,66.55957643516776,2.0,62.10478235173607,1.0,44.04892935622377,3.0,39.59413527279208,2.0,51.398941087919404,3.5,44.83936465275164,2.5
32.0,65.96621755355704,2.0,61.94396791462226,1.0,42.8372621595801,3.0,38.815012520645325,2.0,49.91554388389259,3.5,43.94932633033555,2.5
33.0,65.38575509843058,2.0,61.784592114629575,1.0,41.64781687690501,3.0,38.04665389310401,2.0,48.46438774607643,3.5,43.078632647645854,2.5
34.0,64.82397104515607,2.0,61.628156724040025,1.0,40.49227001581416,3.0,37.29645569469811,2.0,47.05992761289018,3.5,42.23595656773411,2.5
35.0,64.28594387856886,2.0,61.47599446682969,1.0,39.38090475151267,3.0,36.5709553397735,2.0,45.71485969642215,3.5,41.428915817853294,2.5
36.0,63.77598342484313,2.0,61.32925247759868,1.0,38.322480092462065,3.0,35.875749145217604,2.0,44.43995856210785,3.5,40.66397513726471,2.5
37.0,63.29757936050103,2.0,61.18887915383596,1.0,37.32412734842347,3.0,35.2154271417584,2.0,43.24394840125257,3.5,39.94636904075154,2.5
38.0,62.853364145573806,2.0,61.055614589357795,1.0,36.39127539707629,3.0,34.59352584086028,2.0,42.1334103639345,3.5,39.2800462183607,2.5
39.0,62.44509089457215,2.0,60.92998471851738,1.0,35.527605778892976,3.0,34.01249960283821,2.0,41.11272723643036,3.5,38.66763634185821,2.5
40.0,62.07362645774411,2.0,60.81229924058226,1.0,34.73503816778071,3.0,33.47371095061886,2.0,40.184066144360294,3.5,38.110439686616175,2.5
41.0,61.738959739925896,2.0,60.70265333247097,1.0,34.01374627483078,3.0,32.97743986737586,2.0,39.34739934981473,3.5,37.60843960988884,2.5
42.0,61.44022503900909,2.0,60.60093309680313,1.0,33.362203752119896,3.0,32.52291180991394,2.0,38.60056259752273,3.5,37.16033755851363,2.5
43.0,61.175739944547566,2.0,60.50682463191943,1.0,32.77725918066021,3.0,32.10834386803208,2.0,37.939349861368925,3.5,36.76360991682136,2.5
44.0,60.94305710313203,2.0,60.41982655212535,1.0,32.25423875894873,3.0,31.731008207942047,2.0,37.357642757830064,3.5,36.41458565469804,2.5
45.0,60.73902893457958,2.0,60.339265730832366,1.0,31.78707486353411,3.0,31.3873116597869,2.0,36.847572336448955,3.5,36.108543401869376,2.5
46.0,60.559884175241685,2.0,60.26431598739285,1.0,31.368458237648234,3.0,31.07289004979939,2.0,36.39971043810422,3.5,35.83982626286253,2.5
